SKU,Artikal,Datum,Broj,Tip,Smer,Opis,Referenca,Prijem kolicina,Prijem vrednost,Izdavanje kolicina,Izdavanje vrednost,Cena,Stanje zaliha kolicina,Stanje zaliha vrednost,Delta kolicina
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-04-01,POCETNO,,,Početno stanje,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-06-07,PS-1,PS,PRIJEM,,,50.0,50604.52,0.0,0.0,1012.0904,50.0,50604.52,50.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-07-02,IS-19,IS,IZDAVANJE,,,0.0,0.0,8.0,8096.72,1012.090476,42.0,42507.8,-8.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-07-04,IS-1,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2024000087,0.0,0.0,1.0,1012.09,1012.090487,41.0,41495.71,-1.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-07-04,IS-2,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2024000088,0.0,0.0,1.0,1012.09,1012.0905,40.0,40483.62,-1.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-07-08,IS-39,IS,POVRAT,Iz izdatog računa: SP-MM,SP-MM-2024000124,0.0,0.0,-1.0,-1010.9,1012.061463,41.0,41494.52,1.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-07-08,IS-41,IS,POVRAT,Iz izdatog računa: SP-MM,SP-MM-2024000126,0.0,0.0,-1.0,-1010.9,1012.033809,42.0,42505.42,1.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-07-08,IS-55,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2024000140,0.0,0.0,2.0,2024.07,1012.03375,40.0,40481.35,-2.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-07-10,IS-101,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2024000186,0.0,0.0,1.0,1012.03,1012.033846,39.0,39469.32,-1.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-07-10,IS-102,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2024000187,0.0,0.0,1.0,1012.03,1012.033947,38.0,38457.29,-1.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-07-11,IS-136,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2024000221,0.0,0.0,1.0,1012.03,1012.034054,37.0,37445.26,-1.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-07-11,IS-137,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2024000222,0.0,0.0,1.0,1012.03,1012.034166,36.0,36433.23,-1.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-07-24,IS-247,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2024000332,0.0,0.0,1.0,1012.03,1012.034285,35.0,35421.2,-1.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-07-29,IS-283,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2024000368,0.0,0.0,1.0,1012.03,1012.034411,34.0,34409.17,-1.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-07-29,IS-295,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2024000380,0.0,0.0,1.0,1012.03,1012.034545,33.0,33397.14,-1.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-07-30,IS-304,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2024000389,0.0,0.0,1.0,1012.03,1012.034687,32.0,32385.11,-1.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-07-31,IS-311,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2024000396,0.0,0.0,1.0,1012.04,1012.034516,31.0,31373.07,-1.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-07-31,IS-312,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2024000397,0.0,0.0,1.0,1012.03,1012.034666,30.0,30361.04,-1.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-07-31,IS-314,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2024000399,0.0,0.0,1.0,1012.03,1012.034827,29.0,29349.01,-1.0
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-08-05,IS-346,IS,IZDAVANJE,Iz izdatog računa: SP-MM,SP-MM-2024000431,0.0,0.0,1.0,1012.04,1012.034642,28.0,28336.97,-1.0
