SKU,Artikal,Prvi prijem,Prvi datum,Zadnji datum,Ukupno dana,Dani bez zalihe,Dani dostupno,Nabavljeno,Nabavljeno kartica,Izdavanje ukupno,Povrati,Total prodato,Prosek dnevno,Procena izgubljeno,Ukupno neto,Prosek neto,Procjena gubitka neto,Poslato (SP prijemi),Pristiglo (SP prijemi),Prvi verifikovani prijem,Zadnji verifikovani prijem
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-06-07,2024-04-01,2025-12-30,639,99,540,281.0,280.0,254.0,20.0,234.0,0.433333,42.9,0.0,0.0,0.0,282.0,281.0,2024-06-11,2026-01-16
AF-10,AF-10 - Rep svetlo smeda afro (AF-10) kom,2024-06-07,2024-04-01,2025-12-29,638,68,570,68.0,67.0,51.0,3.0,48.0,0.084211,5.7263,0.0,0.0,0.0,68.0,68.0,2024-06-11,2025-08-16
AF-4,AF-4 - Rep tamno smeda afro (AF-4) kom,2024-06-07,2024-04-01,2025-12-29,638,68,570,160.0,160.0,122.0,10.0,112.0,0.196491,13.3614,0.0,0.0,0.0,160.0,160.0,2024-06-11,2025-08-16
AF-6,AF-6 - Rep smeda afro (AF-6) kom,2024-06-07,2024-04-01,2025-12-25,634,68,566,150.0,150.0,105.0,5.0,100.0,0.176678,12.0141,0.0,0.0,0.0,150.0,150.0,2024-06-11,2025-08-16
AF-613,Rep svetlo plava afro (AF-613) kom,2024-06-07,2024-04-01,2025-12-18,627,68,559,120.0,120.0,65.0,3.0,62.0,0.110912,7.542,0.0,0.0,0.0,120.0,120.0,2024-06-11,2025-08-16
AF-613/K16 (AF-613/K16) kom,AF-613/K16 (AF-613/K16) kom,2025-01-28,2024-04-01,2025-01-28,303,303,0,20.0,20.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AF-BRO,Rep bronza afro (AF-BRO) kom,2025-08-13,2024-04-01,2025-08-13,500,500,0,15.0,15.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,2025-08-16,2025-08-16
AF-CRV,AF-CRV - Rep crvena afro (AF-CRV) kom,2024-06-07,2024-04-01,2025-12-29,638,68,570,35.0,35.0,24.0,4.0,20.0,0.035088,2.386,0.0,0.0,0.0,38.0,35.0,2024-06-11,2025-12-01
AF-K16,AF-K16 - Rep tamno plava afro (AF-K16) kom,2024-06-07,2024-04-01,2025-12-25,634,102,532,150.0,150.0,104.0,3.0,101.0,0.18985,19.3647,0.0,0.0,0.0,150.0,150.0,2024-06-11,2025-08-16
AF-MHG,Rep Mahagoni afro (AF-MHG) ko,2024-06-07,2024-04-01,2025-12-29,638,85,553,52.0,52.0,47.0,7.0,40.0,0.072333,6.1483,0.0,0.0,0.0,52.0,52.0,2024-06-11,2025-08-16
AF-SMEDPR,Rep sv. smedi s pram. afro (AF-SMEDPR) kom,2025-08-13,2024-04-01,2025-12-29,638,500,138,70.0,70.0,25.0,3.0,22.0,0.15942,79.7101,0.0,0.0,0.0,70.0,70.0,2025-08-16,2025-08-16
AF-SMO,Rep smeda ombre afro (AF-SMO) kom,2024-06-07,2024-04-01,2025-12-24,633,68,565,60.0,60.0,39.0,3.0,36.0,0.063717,4.3327,0.0,0.0,0.0,60.0,60.0,2024-06-11,2025-10-29
AF-SMP,AF-SMP - Rep smede plava afro (AF-SMP) kom,2024-06-07,2024-04-01,2025-12-30,639,105,534,120.0,120.0,106.0,9.0,97.0,0.181648,19.073,0.0,0.0,0.0,120.0,120.0,2024-06-11,2025-08-16
AR-1B,Ariana crni (AR-1B) kom,2025-05-08,2024-04-01,2025-12-30,639,403,236,230.0,230.0,167.0,19.0,148.0,0.627119,252.7288,0.0,0.0,0.0,230.0,230.0,2025-05-15,2026-01-16
AR-2,Ariana najtamnija smeda (AR-2) kom,2025-01-28,2024-04-01,2025-12-30,639,303,336,185.0,185.0,152.0,18.0,134.0,0.39881,120.8393,0.0,0.0,0.0,185.0,185.0,2025-01-29,2026-01-16
AR-4,Ariana tamno smedi (AR-4) kom,2025-01-28,2024-04-01,2025-12-30,639,366,273,275.0,275.0,258.0,14.0,244.0,0.893773,327.1209,0.0,0.0,0.0,275.0,275.0,2025-01-29,2026-01-16
AR-6,Arijana smedi (AR-6) kom,2025-08-13,2024-04-01,2025-11-24,603,500,103,50.0,50.0,53.0,6.0,47.0,0.456311,228.1553,0.0,0.0,0.0,50.0,50.0,2025-08-16,2025-08-16
AR-613,Arijana svetlo plavi (AR-613) kom,2025-01-28,2024-04-01,2025-12-31,640,303,337,115.0,115.0,53.0,1.0,52.0,0.154303,46.7537,0.0,0.0,0.0,115.0,115.0,2025-01-29,2026-01-16
AR-BAK,Ariana bakrena (AR-BAK) kom,2025-12-30,2024-04-01,2025-12-30,639,639,0,20.0,20.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,2026-01-16,2026-01-21
AR-K16,Ariana tamno plavi (AR-K16) kom,2025-01-28,2024-04-01,2025-12-30,639,303,336,175.0,175.0,146.0,14.0,132.0,0.392857,119.0357,0.0,0.0,0.0,175.0,175.0,2025-01-29,2026-01-16
AR-Najpl,Ariana najtamnija plava (AR-Najpl) kom,2025-05-08,2024-04-01,2025-12-17,626,403,223,35.0,35.0,22.0,2.0,20.0,0.089686,36.1435,0.0,0.0,0.0,35.0,35.0,2025-05-15,2025-10-29
AR-PLO,Ariana platinum ombre (AR-PLO) kom,2025-01-28,2024-04-01,2025-12-30,639,303,336,116.0,115.0,62.0,5.0,57.0,0.169643,51.4018,0.0,0.0,0.0,116.0,116.0,2025-01-29,2026-01-16
AR-SMO,Arijana smedi ombre (AR-SMO) kom,2025-08-13,2024-04-01,2025-12-30,639,500,139,90.0,90.0,43.0,4.0,39.0,0.280576,140.2878,0.0,0.0,0.0,90.0,90.0,2025-08-16,2026-01-16
AR-SMPLV,Ariana smede plavi (AR-SMPLV) kom,2025-05-08,2024-04-01,2025-12-30,639,403,236,95.0,95.0,61.0,2.0,59.0,0.25,100.75,0.0,0.0,0.0,95.0,95.0,2025-05-15,2026-01-16
