SKU,Artikal,Zero od,Zero do,Dani bez zalihe,Dokument start,Dokument kraj
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-04-01,2024-06-07,67,POCETNO,PS-1
AF-1,AF-1 - Rep crni afro (AF-1) kom,2024-11-19,2024-12-13,24,IS-1549,PS-4
AF-1,AF-1 - Rep crni afro (AF-1) kom,2025-07-10,2025-07-15,5,IS-2025-3897,IS-2025-4032
AF-10,AF-10 - Rep svetlo smeda afro (AF-10) kom,2024-04-01,2024-06-07,67,POCETNO,PS-1
AF-4,AF-4 - Rep tamno smeda afro (AF-4) kom,2024-04-01,2024-06-07,67,POCETNO,PS-1
AF-6,AF-6 - Rep smeda afro (AF-6) kom,2024-04-01,2024-06-07,67,POCETNO,PS-1
AF-613,Rep svetlo plava afro (AF-613) kom,2024-04-01,2024-06-07,67,POCETNO,PS-1
AF-613/K16 (AF-613/K16) kom,AF-613/K16 (AF-613/K16) kom,2024-04-01,2025-01-28,302,POCETNO,PS-2025-1
AF-BRO,Rep bronza afro (AF-BRO) kom,2024-04-01,2025-08-13,499,POCETNO,PS-2025-4
AF-CRV,AF-CRV - Rep crvena afro (AF-CRV) kom,2024-04-01,2024-06-07,67,POCETNO,PS-1
AF-K16,AF-K16 - Rep tamno plava afro (AF-K16) kom,2024-04-01,2024-06-07,67,POCETNO,PS-1
AF-K16,AF-K16 - Rep tamno plava afro (AF-K16) kom,2024-12-26,2025-01-28,33,IS-2356,PS-2025-1
AF-MHG,Rep Mahagoni afro (AF-MHG) ko,2024-04-01,2024-06-07,67,POCETNO,PS-1
AF-MHG,Rep Mahagoni afro (AF-MHG) ko,2024-08-12,2024-08-28,16,IS-422,IS-589
AF-SMEDPR,Rep sv. smedi s pram. afro (AF-SMEDPR) kom,2024-04-01,2025-08-13,499,POCETNO,PS-2025-4
AF-SMO,Rep smeda ombre afro (AF-SMO) kom,2024-04-01,2024-06-07,67,POCETNO,PS-1
AF-SMP,AF-SMP - Rep smede plava afro (AF-SMP) kom,2024-04-01,2024-06-07,67,POCETNO,PS-1
AF-SMP,AF-SMP - Rep smede plava afro (AF-SMP) kom,2024-12-23,2025-01-28,36,IS-2201,PS-2025-1
AR-1B,Ariana crni (AR-1B) kom,2024-04-01,2025-05-08,402,POCETNO,PS-2025-2
AR-2,Ariana najtamnija smeda (AR-2) kom,2024-04-01,2025-01-28,302,POCETNO,PS-2025-1
AR-4,Ariana tamno smedi (AR-4) kom,2024-04-01,2025-01-28,302,POCETNO,PS-2025-1
AR-4,Ariana tamno smedi (AR-4) kom,2025-03-10,2025-03-11,1,IS-2025-1147,IS-2025-1205
AR-4,Ariana tamno smedi (AR-4) kom,2025-06-19,2025-08-13,55,IS-2025-3354,PS-2025-4
AR-4,Ariana tamno smedi (AR-4) kom,2025-10-20,2025-10-22,2,IS-2025-7420,IS-2025-7517
AR-4,Ariana tamno smedi (AR-4) kom,2025-10-22,2025-10-23,1,IS-2025-7521,IS-2025-7554
AR-6,Arijana smedi (AR-6) kom,2024-04-01,2025-08-13,499,POCETNO,PS-2025-4
AR-613,Arijana svetlo plavi (AR-613) kom,2024-04-01,2025-01-28,302,POCETNO,PS-2025-1
AR-BAK,Ariana bakrena (AR-BAK) kom,2024-04-01,2025-12-30,638,POCETNO,PS-2025-8
AR-K16,Ariana tamno plavi (AR-K16) kom,2024-04-01,2025-01-28,302,POCETNO,PS-2025-1
AR-Najpl,Ariana najtamnija plava (AR-Najpl) kom,2024-04-01,2025-05-08,402,POCETNO,PS-2025-2
AR-PLO,Ariana platinum ombre (AR-PLO) kom,2024-04-01,2025-01-28,302,POCETNO,PS-2025-1
AR-SMO,Arijana smedi ombre (AR-SMO) kom,2024-04-01,2025-08-13,499,POCETNO,PS-2025-4
AR-SMPLV,Ariana smede plavi (AR-SMPLV) kom,2024-04-01,2025-05-08,402,POCETNO,PS-2025-2
AR-SRP,Arijana srednje plavi (AR-SRP) kom,2024-04-01,2025-08-13,499,POCETNO,PS-2025-4
BD-10,Blowdry svetlo smeda (BD-10) ko,2024-04-01,2025-10-27,574,POCETNO,PS-2025-5
BD-1B,Blowdry crna (BD-1B) ko,2024-04-01,2025-10-27,574,POCETNO,PS-2025-5
BD-2,Blowdry najtamnija smeda (BD-2) ko,2024-04-01,2025-10-27,574,POCETNO,PS-2025-5
BD-4,Blowdry tamno smeda (BD-4) ko,2024-04-01,2025-10-27,574,POCETNO,PS-2025-5
BD-6,Blowdry smeda (BD-6) ko,2024-04-01,2025-10-27,574,POCETNO,PS-2025-5
BD-613,Blowdry svetlo plava (BD-613) ko,2024-04-01,2025-10-27,574,POCETNO,PS-2025-5
BD-K16,Blowdry tamno plava (BD-K16) ko,2024-04-01,2025-10-27,574,POCETNO,PS-2025-5
BD-PLAT,Blowdry platina (BD-PLAT) ko,2024-04-01,2025-10-27,574,POCETNO,PS-2025-5
BD-SMEDPR,Blowdry svetlo smeda s pramenovima (BD-SMEDPR) ko,2024-04-01,2025-10-27,574,POCETNO,PS-2025-5
BD-SRP,Blowdry srednje plava (BD-SRP) ko,2024-04-01,2025-10-27,574,POCETNO,PS-2025-5
Crni kratki opk (KRO-1B ) kom,Crni kratki opk (KRO-1B ) kom,2024-04-01,2024-10-20,202,POCETNO,PS-3
Crni kratki rep (KRR-1B ) kom,Crni kratki rep (KRR-1B ) kom,2024-04-01,2024-10-20,202,POCETNO,PS-3
Crni kratki rep (KRR-1B ) kom,Crni kratki rep (KRR-1B ) kom,2025-12-16,2025-12-19,3,IS-2025-9390,IS-2025-9492
Crni kratki rep (KRR-1B ) kom,Crni kratki rep (KRR-1B ) kom,2025-12-23,2025-12-30,7,IS-2025-9716,PS-2025-8
DR-1B,DR-1B - Rep crni dugi 90cm (DR-1B) kom,2024-04-01,2024-06-07,67,POCETNO,PS-1
DR-4,DR-4 - Dugi tamnosmedi (DR-4) kom,2024-04-01,2024-10-20,202,POCETNO,PS-3
DR-6,DR-6 (DR-6) kom,2024-04-01,2025-05-08,402,POCETNO,PS-2025-2
DR-K16,Dugi tamno plavi (DR-K16) kom,2024-04-01,2025-05-08,402,POCETNO,PS-2025-2
DR-PP,DR-PP - Rep platinum dugi 90cm (DR-PP) kom,2024-04-01,2024-06-07,67,POCETNO,PS-1
DR-SIVPL,DR-SIVPL - Rep sivo plava 90cm (DR-SIVPL) kom,2024-04-01,2024-06-07,67,POCETNO,PS-1
DR-SMPLV,DR-SMPLV - Rep smede plava 90cm (DR-SMPLV) kom,2024-04-01,2024-06-07,67,POCETNO,PS-1
DR-SRP,DR-SRP (DR-SRP) kom,2024-04-01,2025-05-08,402,POCETNO,PS-2025-2
EKS-10,EKS-10 - Ekstenzije svetlo smeda (EKS-10) kom,2024-04-01,2024-08-28,149,POCETNO,PS-2
EKS-10,EKS-10 - Ekstenzije svetlo smeda (EKS-10) kom,2025-06-26,2025-08-13,48,IS-2025-3519,PS-2025-4
EKS-1B,EKS-1B - Ekstenzije crna ravna (EKS-1B) kom,2024-04-01,2024-06-07,67,POCETNO,PS-1
EKS-4,EKS-4 - Ekstenzije tamno smeda ravna (EKS-4) kom,2024-04-01,2024-06-07,67,POCETNO,PS-1
EKS-6,Ekstenzije smeda ravna (EKS-6) kom,2024-04-01,2024-06-07,67,POCETNO,PS-1
EKS-613,Ekstenzije svetlo plava (EKS-613) kom,2024-04-01,2025-08-13,499,POCETNO,PS-2025-4
EKS-K16,EKS-K16 - Ekstenzije tamno plava ravna (EKS-K16) kom,2024-04-01,2024-06-07,67,POCETNO,PS-1
EKS-NAT,EKS-NAT - Ekstenzije Natural Plave (EKS-NAT) kom,2024-04-01,2024-06-07,67,POCETNO,PS-1
EKS-PLAT,Ekstenzije platina (EKS-PLAT) kom,2024-04-01,2025-08-13,499,POCETNO,PS-2025-4
EKS-PLO,Ekstenzije platinum pl. ombre (EKS-PLO) kom,2024-04-01,2024-08-28,149,POCETNO,PS-2
EKS-SRP,EKS-SRP - Ekstenzije srednje plava ravna (EKS-SRP) kom,2024-04-01,2024-10-20,202,POCETNO,PS-3
