sku,oos_start,oos_end,controls
AF-1,2024-11-19,2024-12-12,"[{""control_sku"": ""Najtamniji smedi kratki opk (KRO-2 ) kom"", ""corr"": 0.48012876093330564, ""overlap_days"": 30, ""ratio"": 4.0}, {""control_sku"": ""RR-10"", ""corr"": 0.44804394299035255, ""overlap_days"": 56, ""ratio"": 2.0}, {""control_sku"": ""RR-1B"", ""corr"": 0.41833228461525496, ""overlap_days"": 56, ""ratio"": 1.5}, {""control_sku"": ""Tamno plavi kratki opk (KRO-k16 ) kom"", ""corr"": 0.37912190882440827, ""overlap_days"": 30, ""ratio"": 3.0}, {""control_sku"": ""AF-SMP"", ""corr"": 0.36993738317010183, ""overlap_days"": 56, ""ratio"": 3.0}]"
AF-1,2025-07-10,2025-07-14,"[{""control_sku"": ""OPK-SMP"", ""corr"": 0.5723579959665914, ""overlap_days"": 56, ""ratio"": 2.333333333333333}, {""control_sku"": ""P091"", ""corr"": 0.48981206264314747, ""overlap_days"": 53, ""ratio"": 10.5}, {""control_sku"": ""AF-MHG"", ""corr"": 0.4856022717550338, ""overlap_days"": 56, ""ratio"": 3.5}, {""control_sku"": ""AR-613"", ""corr"": 0.46914688368100654, ""overlap_days"": 56, ""ratio"": 1.9090909090909092}, {""control_sku"": ""Crni kratki opk (KRO-1B ) kom"", ""corr"": 0.44198454615266647, ""overlap_days"": 56, ""ratio"": 2.625}]"
AF-K16,2024-12-26,2025-01-27,"[{""control_sku"": ""AF-10"", ""corr"": 0.6550404675929556, ""overlap_days"": 56, ""ratio"": 2.0}, {""control_sku"": ""Svetlo Smedi s pramenovima (RR-SMEDPR ) kom"", ""corr"": 0.4694949753883355, ""overlap_days"": 56, ""ratio"": 0.6}, {""control_sku"": ""RR-MHG"", ""corr"": 0.45208063406437704, ""overlap_days"": 56, ""ratio"": 2.0}, {""control_sku"": ""Srednje plava ombre afro (AF-SRP ) kom"", ""corr"": 0.44501236673450423, ""overlap_days"": 56, ""ratio"": 3.0}]"
AF-MHG,2024-08-12,2024-08-27,"[{""control_sku"": ""RR-4"", ""corr"": 0.49487210036728163, ""overlap_days"": 56, ""ratio"": 0.25}, {""control_sku"": ""RR-350"", ""corr"": 0.36430836970250075, ""overlap_days"": 56, ""ratio"": 1.0}, {""control_sku"": ""EKS-1B"", ""corr"": 0.3625502356301115, ""overlap_days"": 56, ""ratio"": 0.17647058823529413}, {""control_sku"": ""EKS-4"", ""corr"": 0.3080496089889161, ""overlap_days"": 56, ""ratio"": 0.3333333333333333}]"
AF-SMP,2024-12-23,2025-01-27,"[{""control_sku"": ""RR-MHG"", ""corr"": 0.5491696473652757, ""overlap_days"": 56, ""ratio"": 1.25}, {""control_sku"": ""EKS-PLO"", ""corr"": 0.4483200246923518, ""overlap_days"": 56, ""ratio"": 0.625}, {""control_sku"": ""DR-4"", ""corr"": 0.4269005847953218, ""overlap_days"": 56, ""ratio"": 0.8333333333333334}, {""control_sku"": ""EKS-K16"", ""corr"": 0.39457148922779367, ""overlap_days"": 56, ""ratio"": 0.5555555555555556}, {""control_sku"": ""AF-10"", ""corr"": 0.3902440881590393, ""overlap_days"": 56, ""ratio"": 1.25}]"
AR-4,2025-03-10,2025-03-10,"[{""control_sku"": ""Svetlo plavi kratki opk (KRO-613 ) kom"", ""corr"": 0.6019747060559005, ""overlap_days"": 41, ""ratio"": 5.666666666666667}, {""control_sku"": ""OPK-1B"", ""corr"": 0.5606353040693077, ""overlap_days"": 41, ""ratio"": 1.1333333333333333}, {""control_sku"": ""Ekstenzije s plavim pramenovima (EKS-PRAM ) kom"", ""corr"": 0.5562582100919535, ""overlap_days"": 41, ""ratio"": 8.5}, {""control_sku"": ""Ekstenzije smede plava ravna (EKS-SMPLV ) kom"", ""corr"": 0.4766465456205047, ""overlap_days"": 41, ""ratio"": 5.666666666666667}, {""control_sku"": ""U-1B"", ""corr"": 0.46010027534771764, ""overlap_days"": 41, ""ratio"": 0.894736842105263}]"
AR-4,2025-06-19,2025-08-12,"[{""control_sku"": ""AR-1B"", ""corr"": 0.5825367588456855, ""overlap_days"": 42, ""ratio"": 1.4500000000000002}, {""control_sku"": ""Smede plavi kratki (KRR-SMPLV ) kom"", ""corr"": 0.5612349859730081, ""overlap_days"": 56, ""ratio"": 7.250000000000001}, {""control_sku"": ""Srednje plavi (RR-SRP ) kom"", ""corr"": 0.552708918629632, ""overlap_days"": 56, ""ratio"": 4.142857142857143}, {""control_sku"": ""EKS-4"", ""corr"": 0.5390382488159651, ""overlap_days"": 56, ""ratio"": 1.2608695652173916}]"
AR-4,2025-10-20,2025-10-22,"[{""control_sku"": ""OPK-1B"", ""corr"": 0.49137697724960766, ""overlap_days"": 56, ""ratio"": 0.5952380952380952}, {""control_sku"": ""Tamno plavi kratki (KRR-k16 ) kom"", ""corr"": 0.45451046645997417, ""overlap_days"": 56, ""ratio"": 2.7777777777777777}, {""control_sku"": ""Svetlo plavi kratki opk (KRO-613 ) kom"", ""corr"": 0.43405736614121565, ""overlap_days"": 56, ""ratio"": 3.1250000000000004}, {""control_sku"": ""U-1B"", ""corr"": 0.4176450345162734, ""overlap_days"": 56, ""ratio"": 1.3888888888888888}]"
Crni kratki rep (KRR-1B ) kom,2025-12-16,2025-12-18,"[{""control_sku"": ""PR20"", ""corr"": 0.5759926427452075, ""overlap_days"": 39, ""ratio"": 7.5}, {""control_sku"": ""AR-4"", ""corr"": 0.5161582343588339, ""overlap_days"": 54, ""ratio"": 0.38461538461538464}, {""control_sku"": ""OPK-1B"", ""corr"": 0.3971463023204904, ""overlap_days"": 56, ""ratio"": 1.0714285714285714}, {""control_sku"": ""BD-10"", ""corr"": 0.389985492809496, ""overlap_days"": 50, ""ratio"": 3.75}]"
Crni kratki rep (KRR-1B ) kom,2025-12-23,2025-12-29,"[{""control_sku"": ""BD-10"", ""corr"": 0.4038466797066338, ""overlap_days"": 53, ""ratio"": 3.0}, {""control_sku"": ""OPK-1B"", ""corr"": 0.39180729358249883, ""overlap_days"": 53, ""ratio"": 0.923076923076923}, {""control_sku"": ""Tamno smeda kratki (KRR-4 ) kom"", ""corr"": 0.3881588090403279, ""overlap_days"": 53, ""ratio"": 1.714285714285714}]"
EKS-10,2025-06-26,2025-08-12,"[{""control_sku"": ""PR43"", ""corr"": 0.5272256197292066, ""overlap_days"": 39, ""ratio"": 4.0}, {""control_sku"": ""EKS-4"", ""corr"": 0.5194528798082637, ""overlap_days"": 56, ""ratio"": 0.6153846153846153}, {""control_sku"": ""Platinum ombre kratki opk (KRO-PP ) kom"", ""corr"": 0.5099697744236147, ""overlap_days"": 56, ""ratio"": 2.0}, {""control_sku"": ""Srednje plavi (RR-SRP ) kom"", ""corr"": 0.5059909971510959, ""overlap_days"": 56, ""ratio"": 1.5999999999999999}]"
EKS-SSP,2025-09-26,2025-09-26,"[{""control_sku"": ""AF-SMO"", ""corr"": 0.5378528742004769, ""overlap_days"": 56, ""ratio"": 1.2}, {""control_sku"": ""Svetlo smeda OPK (OPK-10 ) kom"", ""corr"": 0.49888765156985876, ""overlap_days"": 56, ""ratio"": 0.6666666666666666}, {""control_sku"": ""AR-1B"", ""corr"": 0.44309312987128385, ""overlap_days"": 56, ""ratio"": 0.23999999999999996}]"
EKSOPK-1B,2025-12-16,2025-12-29,"[{""control_sku"": ""RR-613"", ""corr"": 0.4851361676989206, ""overlap_days"": 56, ""ratio"": 2.3333333333333335}, {""control_sku"": ""AR-4"", ""corr"": 0.39480060441505765, ""overlap_days"": 54, ""ratio"": 0.1794871794871795}, {""control_sku"": ""AR-1B"", ""corr"": 0.3833084176208898, ""overlap_days"": 56, ""ratio"": 0.4666666666666667}, {""control_sku"": ""Svetlo plavi kratki opk (KRO-613 ) kom"", ""corr"": 0.37573633390909716, ""overlap_days"": 56, ""ratio"": 0.875}]"
EKSOPK-4,2025-12-22,2025-12-29,"[{""control_sku"": ""U-4"", ""corr"": 0.4703851270805967, ""overlap_days"": 56, ""ratio"": 0.39999999999999997}, {""control_sku"": ""AR-SMO"", ""corr"": 0.4685241878304466, ""overlap_days"": 56, ""ratio"": 2.0}, {""control_sku"": ""OPK-1B"", ""corr"": 0.38582926421889335, ""overlap_days"": 56, ""ratio"": 0.25}]"
EKSOPK-SMEDPR,2025-11-05,2025-11-06,"[{""control_sku"": ""Platinum OPK (OPK-PLAT ) kom"", ""corr"": 0.4542606569989021, ""overlap_days"": 56, ""ratio"": 6.500000000000001}, {""control_sku"": ""Smedi ombre kratki opk (KRO-SMO ) kom"", ""corr"": 0.4391159967656258, ""overlap_days"": 56, ""ratio"": 2.6}, {""control_sku"": ""RR-K16"", ""corr"": 0.3874325103859381, ""overlap_days"": 56, ""ratio"": 6.500000000000001}, {""control_sku"": ""Najtamnija smeda (RR-2 ) kom"", ""corr"": 0.3864432699645595, ""overlap_days"": 56, ""ratio"": 1.6250000000000002}]"
