sku,promo_start,promo_end,avg_discount_share,avg_order_discount,avg_item_discount
AF-1,2024-06-21,2024-07-11,1.0,0.0,22.47
AF-1,2024-11-17,2024-11-20,1.0,0.0,12.5062
AF-1,2025-01-21,2025-01-23,1.0,0.0,12.58
AF-1,2025-02-04,2025-02-05,1.0,5.055,2.5
AF-1,2025-03-03,2025-03-10,1.0,0.0,12.58
AF-1,2025-06-23,2025-06-24,1.0,2.5,2.5
AF-1,2025-11-19,2025-11-20,1.0,2.5,5.0
AF-10,2024-07-02,2024-07-10,1.0,0.0,22.47
AF-10,2024-11-18,2024-11-27,1.0,0.0,12.581433333333335
AF-10,2025-01-23,2025-02-04,1.0,0.0,12.58
AF-10,2025-12-12,2025-12-17,1.0,0.0,7.5
AF-2,2024-11-18,2024-12-13,1.0,0.0,11.06486
AF-2,2025-11-21,2025-12-08,1.0,0.0,14.503319713993871
AF-4,2024-06-21,2024-07-05,1.0,0.0,22.47
AF-4,2024-11-22,2024-12-03,1.0,0.0,17.032
AF-4,2025-01-20,2025-01-28,1.0,0.0,13.434999999999999
AF-6,2024-06-21,2024-07-10,1.0,0.0,22.47
AF-6,2024-09-09,2024-09-11,1.0,0.0,5.0
AF-6,2025-01-20,2025-01-22,1.0,0.0,12.58
AF-6,2025-02-25,2025-03-17,1.0,4.022,7.5488
AF-613,2024-07-04,2024-07-11,1.0,0.0,22.47
AF-CRV,2024-12-11,2024-12-24,1.0,0.0,5.0
AF-CRV,2025-01-15,2025-02-04,1.0,7.56,0.0
AF-CRV,2025-03-11,2025-04-15,1.0,2.5,6.292
AF-CRV,2025-08-18,2025-09-29,1.0,2.5,5.0
AF-K16,2024-06-24,2024-07-15,1.0,0.0,19.558333333333334
AF-K16,2024-11-18,2024-12-03,1.0,0.0,14.038905555555553
AF-K16,2025-03-04,2025-03-10,1.0,0.0,12.58
AF-K16,2025-12-01,2025-12-05,1.0,0.0,16.25
AF-MHG,2025-03-11,2025-03-12,1.0,0.0,12.582
AF-MHG,2025-11-17,2025-11-25,1.0,0.0,15.0
AF-PLAT,2025-01-21,2025-03-06,1.0,1.0,10.064
AF-PLAT,2025-06-26,2025-07-01,1.0,2.5,5.0
AF-SMEDPR,2026-01-12,2026-01-14,1.0,0.0,11.0
AF-SMO,2024-12-03,2024-12-04,1.0,0.0,12.585
AF-SMO,2025-09-16,2025-09-23,1.0,2.5,25.0
AF-SMO,2025-12-22,2026-01-13,1.0,0.0,8.5
AF-SMP,2024-06-24,2024-07-11,1.0,0.0,22.47
AF-SMP,2024-10-08,2024-10-10,1.0,0.0,12.5
AF-SMP,2024-11-17,2024-12-17,1.0,0.0,11.6330375
AF-SMP,2025-01-29,2025-02-04,1.0,1.6849999999999998,8.693333333333333
AF-SMP,2025-03-05,2025-03-06,1.0,0.0,12.591999999999999
AF-SMP,2025-10-21,2025-10-27,1.0,1.6666666666666667,3.3333333333333335
AF-SRP,2024-11-19,2024-11-27,1.0,0.0,12.58
AF-SRP,2024-12-24,2024-12-26,1.0,0.0,5.0
AF-SRP,2025-07-08,2025-07-09,1.0,5.0,0.0
AF-SRP,2025-08-18,2025-08-22,1.0,10.333333333333334,0.0
AR-1B,2025-10-28,2025-10-31,1.0,3.3333333333333335,6.666666666666667
AR-2,2025-03-03,2025-03-07,1.0,1.002,9.628333333333334
AR-4,2025-03-03,2025-03-04,1.0,5.01,5.01
AR-4,2025-03-06,2025-03-11,1.0,0.0,10.02
AR-4,2026-01-08,2026-01-12,1.0,0.0,5.0
AR-613,2025-03-04,2025-03-12,1.0,0.0,10.183333333333332
AR-K16,2025-03-04,2025-03-12,1.0,0.0,11.021666666666667
AR-K16,2025-07-25,2025-07-28,1.0,5.105,0.0
AR-Najpl,2025-10-22,2025-11-14,1.0,0.0,7.5
AR-SMPLV,2025-07-02,2025-07-04,1.0,10.5,0.0
BD-10,2025-12-15,2025-12-17,1.0,0.0,7.5
BD-1B,2025-11-17,2025-11-18,1.0,2.5,6.502835538752365
BD-4,2025-11-17,2025-11-18,1.0,0.0,10.0
DR-1B,2024-06-24,2024-07-10,1.0,0.0,21.44375
DR-1B,2024-11-20,2024-12-03,1.0,0.0,12.6305
DR-1B,2024-12-11,2024-12-12,1.0,0.0,8.815000000000001
DR-1B,2025-03-03,2025-03-12,1.0,0.0,12.63025
DR-4,2024-11-21,2024-12-01,1.0,0.0,12.6305
DR-4,2025-03-04,2025-03-11,1.0,0.0,12.640166666666667
DR-K16,2025-08-04,2025-09-05,1.0,2.5,5.0
DR-PP,2024-06-20,2024-07-15,1.0,0.0,19.174666666666667
DR-PP,2024-08-20,2024-08-21,1.0,0.0,5.0
DR-PP,2024-11-28,2024-12-03,1.0,0.0,12.63
DR-PP,2024-12-19,2024-12-23,1.0,0.0,5.0
DR-SIVPL,2024-06-26,2024-07-04,1.0,0.0,21.5
DR-SIVPL,2024-11-19,2024-12-19,1.0,0.0,9.57825
DR-SIVPL,2025-01-22,2025-02-07,1.0,0.0,11.315000000000001
DR-SMPLV,2024-07-02,2024-07-10,1.0,0.0,21.5
DR-SMPLV,2024-11-19,2024-12-03,1.0,0.0,12.63075
