SKU,Ime proizvoda,Status,Poslata kolicina,Pristigla kolicina,Datum verifikacije,__source_file,__source_sheet
AF-1,"Crna, Afro, 80cm (Rep na mrežicu)",Primljen prijem / otprema,50,50.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
AF-10,"Svetlo Smeđa, Afro, 80cm, (Rep na mrežicu)",Primljen prijem / otprema,15,15.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
AF-4,"Tamno Smeđa, Afro, 80cm (Rep na mrežicu)",Primljen prijem / otprema,40,40.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
AF-6,"Smeđa, Afro, 80cm (Rep na mrežicu)",Primljen prijem / otprema,40,40.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
AF-613,"Svetlo Plava, Afro, 80cm (Rep na mrežicu)",Primljen prijem / otprema,30,30.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
AF-CRV,"Crveni, Afro, 80cm, (Rep na mrežicu)",Primljen prijem / otprema,5,5.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
AF-K16,"Tamno Plava, Afro, 80cm (Rep na mrežicu)",Primljen prijem / otprema,30,30.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
AF-MHG,"Mahagoni Crvena, Afro, 80cm (Rep na mrežicu)",Primljen prijem / otprema,5,5.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
AF-SMO,"Smeđa Ombre, Afro, 80cm (Rep na mrežicu)",Primljen prijem / otprema,10,10.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
AF-SMP,"Smeđe Plava Ombre, Afro, 80cm (Rep na mrežicu)",Primljen prijem / otprema,20,20.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
DR-1B,"Crna, Ravna, 90cm (Rep na mrežicu)",Primljen prijem / otprema,40,40.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
DR-PP,"Platinum plava ombre, Ravna, 90cm (Rep na mrežicu)",Primljen prijem / otprema,40,40.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
DR-SIVPL,"Sivo Plava, Ravna, 90cm (Rep na mrežicu)",Primljen prijem / otprema,20,19.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
DR-SMPLV,"Smeđe plava, ravna, 90cm (Rep na mrežicu)",Primljen prijem / otprema,20,20.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
EKS-1B,"Crne, ravne, ekstenzije na klipse / češljiće",Primljen prijem / otprema,50,50.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
EKS-4,"Tamno smeđe, ravne, ekstenzije na klipse / češljiće",Primljen prijem / otprema,40,39.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
EKS-6,Smeđe ravne ekstenzije na klipse / češljiće,Primljen prijem / otprema,40,40.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
EKS-613,Ekstenzije svetlo plava ravna,Primljen prijem / otprema,35,0.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
EKS-K16,"Tamno plave, ravne, ekstenzije na klipse / češljiće",Primljen prijem / otprema,35,35.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
EKS-SSP,"Smeđe sa pramenovima, ravne, ekstenzije na klipse / češljiće",Primljen prijem / otprema,20,20.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
OPK-1B,"Crna, Opuštena kovrča, 80cm (Rep na mrežicu)",Primljen prijem / otprema,50,55.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
OPK-K16,"Tamno Plava, Opuštena kovrča, 80cm (Rep na mrežicu)",Primljen prijem / otprema,40,40.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
OPK-MHG,"Mahagoni Crvena, Opuštena kovrča, 80cm, (Rep na mrežicu)",Primljen prijem / otprema,10,10.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
OPK-NTP,"Šampanjac Plava, Opuštena kovrča, 80cm (Rep na mrežicu)",Primljen prijem / otprema,30,30.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
OPK-SMO,"Smeđa Ombre, Opuštena Kovrča, 80cm, (Rep na mrežicu)",Primljen prijem / otprema,30,20.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
OPK-SMP,"Smeđe Plava Ombre, Opuštena kovrča, 80cm (Rep na mrežicu)",Primljen prijem / otprema,40,40.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
RR-10,"Svetlo Smeđa, Ravna, 75cm (Rep na mrežicu)",Primljen prijem / otprema,20,20.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
RR-1B,"Crna, Ravna, 75cm (Rep na mrežicu)",Primljen prijem / otprema,55,55.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
RR-350,"Crvena, Ravna, 75cm, (Rep na mrežicu)",Primljen prijem / otprema,5,4.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
RR-4,"Tamno smeđa, Ravna, 75cm (Rep na mrežicu)",Primljen prijem / otprema,55,55.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
RR-6,"Smeđa, Ravna, 75cm (Rep na mrežicu)",Primljen prijem / otprema,55,55.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
RR-613,"Svetlo Plava, Ravna, 75cm (Rep na mrežicu)",Primljen prijem / otprema,50,50.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
RR-K16,"Tamno Plava, Ravna, 75cm, (Rep na mrežicu)",Primljen prijem / otprema,50,50.0,2024-06-11 13:40:08,Slanje paketa - Prijem _ Otprema (1).xlsx,1. K0173
